"Title: Total Diabetes Deaths | KFF State Health Facts"
"Timeframe: 2022"
"Location","Number of Diabetes Deaths","Diabetes Death Rate per 100,000 Population",Footnotes
"United States","101209","24.1","1"
"Alabama","1645","25.4"
"Alaska","184","25.6"
"Arizona","2423","25.1"
"Arkansas","1397","36"
"California","11618","25"
"Colorado","1215","18.5"
"Connecticut","746","15.2"
"Delaware","361","25.1"
"District of Columbia","123","18.2"
"Florida","7549","22.3"
"Georgia","2693","21.9"
"Hawaii","363","17.2"
"Idaho","473","20.5"
"Illinois","3463","21.8"
"Indiana","2493","29.8"
"Iowa","1009","24"
"Kansas","963","26.2"
"Kentucky","1668","29.4"
"Louisiana","1655","29.9"
"Maine","603","28.2"
"Maryland","1796","23.1"
"Massachusetts","1503","16.1"
"Michigan","3418","25.6"
"Minnesota","1514","20.5"
"Mississippi","1256","34.7"
"Missouri","1878","23.5"
"Montana","329","22"
"Nebraska","539","22.1"
"Nevada","898","23.4"
"New Hampshire","454","22.3"
"New Jersey","2099","17.3"
"New Mexico","860","31.2"
"New York","4788","18.2"
"North Carolina","3834","28.8"
"North Dakota","234","25.1"
"Ohio","4268","27.6"
"Oklahoma","1586","33.8"
"Oregon","1454","25.4"
"Pennsylvania","4124","22.6"
"Rhode Island","293","18.9"
"South Carolina","1784","25.8"
"South Dakota","339","29.4"
"Tennessee","2722","31.2"
"Texas","7853","25.6"
"Utah","763","25.4"
"Vermont","179","18.9"
"Virginia","2875","26.9"
"Washington","2199","23.3"
"West Virginia","1056","41.1"
"Wisconsin","1490","19.1"
"Wyoming","180","24.5"

"Notes"
"These figures are age-adjusted to the total U.S. population in 2000."
""
"Underlying cause of death is diabetes mellitus (ICD-10 codes: E10-E14)."

"Sources"
"Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death 1999-2024 on [CDC WONDER Online Database](http://wonder.cdc.gov/). Data are from the Multiple Cause of Death Files, 1999-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at [https://wonder.cdc.gov/ucd-icd10-expanded.html](https://wonder.cdc.gov/ucd-icd10-expanded.html) on February 18, 2026."


Footnotes
"1. U.S. rate does not include data from the territories."
