"Title: Adult Self-Reported Health Status | KFF State Health Facts"
"Timeframe: 2023"
"Location","Poor","Fair","Good","Very Good","Excellent",Footnotes
"United States","0.045","0.149","0.337","0.311","0.159","1"
"Alabama","0.052","0.181","0.344","0.293","0.130"
"Alaska","0.052","0.133","0.344","0.315","0.157"
"Arizona","0.044","0.149","0.340","0.315","0.153"
"Arkansas","0.062","0.197","0.327","0.281","0.133"
"California","0.043","0.165","0.342","0.283","0.168"
"Colorado","0.033","0.120","0.324","0.352","0.172"
"Connecticut","0.032","0.112","0.312","0.345","0.199"
"Delaware","0.041","0.145","0.351","0.314","0.150"
"District of Columbia","0.026","0.097","0.294","0.385","0.198"
"Florida","0.042","0.149","0.326","0.305","0.178"
"Georgia","0.041","0.145","0.346","0.313","0.156"
"Hawaii","0.033","0.132","0.378","0.289","0.168"
"Idaho","0.040","0.123","0.339","0.332","0.167"
"Illinois","0.045","0.137","0.340","0.318","0.161"
"Indiana","0.049","0.153","0.347","0.316","0.135"
"Iowa","0.039","0.133","0.365","0.329","0.133"
"Kansas","0.041","0.131","0.344","0.334","0.151"
"Kentucky","N/A","N/A","N/A","N/A","N/A"
"Louisiana","0.059","0.174","0.334","0.281","0.152"
"Maine","0.050","0.141","0.322","0.348","0.140"
"Maryland","0.035","0.130","0.349","0.335","0.151"
"Massachusetts","0.035","0.119","0.321","0.343","0.182"
"Michigan","0.047","0.143","0.353","0.321","0.137"
"Minnesota","0.034","0.121","0.323","0.352","0.171"
"Mississippi","0.055","0.189","0.347","0.283","0.126"
"Missouri","0.049","0.150","0.345","0.313","0.144"
"Montana","0.043","0.138","0.318","0.339","0.163"
"Nebraska","0.034","0.123","0.347","0.337","0.159"
"Nevada","0.068","0.146","0.340","0.314","0.132"
"New Hampshire","0.040","0.109","0.317","0.377","0.157"
"New Jersey","0.034","0.137","0.331","0.323","0.176"
"New Mexico","0.061","0.171","0.323","0.281","0.165"
"New York","0.043","0.127","0.352","0.309","0.169"
"North Carolina","0.050","0.144","0.319","0.326","0.161"
"North Dakota","0.034","0.119","0.333","0.359","0.156"
"Ohio","0.044","0.157","0.339","0.321","0.140"
"Oklahoma","0.061","0.144","0.351","0.305","0.140"
"Oregon","0.048","0.142","0.353","0.319","0.138"
"Pennsylvania","N/A","N/A","N/A","N/A","N/A"
"Rhode Island","0.045","0.134","0.342","0.322","0.158"
"South Carolina","0.050","0.150","0.331","0.311","0.158"
"South Dakota","0.046","0.134","0.333","0.325","0.162"
"Tennessee","0.065","0.170","0.325","0.309","0.131"
"Texas","0.048","0.171","0.332","0.286","0.163"
"Utah","0.039","0.104","0.324","0.342","0.192"
"Vermont","0.033","0.107","0.327","0.377","0.156"
"Virginia","0.043","0.138","0.311","0.358","0.150"
"Washington","0.035","0.130","0.336","0.345","0.155"
"West Virginia","0.072","0.192","0.348","0.283","0.104"
"Wisconsin","0.043","0.132","0.335","0.342","0.148"
"Wyoming","0.048","0.128","0.316","0.343","0.165"
"Guam","0.049","0.185","0.367","0.247","0.152"
"Puerto Rico","0.043","0.299","0.340","0.133","0.185"
"U.S. Virgin Islands","0.049","0.153","0.395","0.262","0.141"

"Notes"
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2024 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*NSD*: Estimates are not provided if the relative standard error exceeds 30% or if the denominator is based on fewer than 50 respondents in the unweighted sample. "
""
"*N/A*: Data not available. US Virgin Islands is only included in BRFSS in 2016, 2023, and 2024. Due to limited data, New Jersey was not included in the 2019 BRFSS aggregated data set. Florida was unable to collect BRFSS data over enough months to meet the minimum requirements for inclusion in 2021, and Kentucky and Pennsylvania did not meet minimum requirements for inclusion in 2023. Tennessee was unable to collect enough data to meet the minimum requirements for inclusion in 2024."


Footnotes
"1. US totals exclude data from the territories."
