"Title: Total Heart Disease Deaths | KFF State Health Facts"
"Timeframe: 2021"
"Location","Number of Heart Disease Deaths","Heart Disease Death Rate per 100,000"
"United States","695547","173.8"
"Alabama","15173","247.5"
"Alaska","1011","154.7"
"Arizona","14550","158.3"
"Arkansas","8547","231"
"California","65471","147.8"
"Colorado","8081","135.1"
"Connecticut","6731","136.7"
"Delaware","2183","162.7"
"District of Columbia","1288","192.8"
"Florida","50100","151.3"
"Georgia","21931","195.2"
"Hawaii","2651","126.5"
"Idaho","3429","166.4"
"Illinois","26291","169.8"
"Indiana","15209","191.2"
"Iowa","7704","184.9"
"Kansas","6315","176.1"
"Kentucky","11697","217.5"
"Louisiana","12564","235.5"
"Maine","3357","168.4"
"Maryland","12138","165.2"
"Massachusetts","11947","134"
"Michigan","26664","209.6"
"Minnesota","8568","123.9"
"Mississippi","8837","255.2"
"Missouri","15713","202.4"
"Montana","2536","175.2"
"Nebraska","3776","160.8"
"Nevada","7352","208.1"
"New Hampshire","2845","154.1"
"New Jersey","18508","157.5"
"New Mexico","4182","156.5"
"New York","42434","162.3"
"North Carolina","21302","170.9"
"North Dakota","1442","152.8"
"Ohio","30578","204.7"
"Oklahoma","12158","264.2"
"Oregon","7823","148.5"
"Pennsylvania","32478","180.6"
"Rhode Island","2359","158.7"
"South Carolina","12118","189.1"
"South Dakota","1695","153"
"Tennessee","18468","223.8"
"Texas","50584","180.7"
"Utah","4275","162.4"
"Vermont","1585","175.7"
"Virginia","16654","167.2"
"Washington","12789","147.7"
"West Virginia","5549","223"
"Wisconsin","12791","171.7"
"Wyoming","1116","159.4"

"Notes"
"These figures are age-adjusted to the total U.S. population in 2000. Since death rates are affected by the population composition of a given area, age-adjusted death rates should be used for comparisons between areas because they control for differences in population composition."
""
"Causes of death attributable to heart disease mortality include ICD-10 Codes I00-I02;I05-I09; I11.0;I11.9;I13.0-I13.2;I13.9;I20-I28;I30-I51."

"Sources"
"Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death 1999-2024 on [CDC WONDER Online Database](http://wonder.cdc.gov/). Data are from the Multiple Cause of Death Files, 1999-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at [https://wonder.cdc.gov/ucd-icd10-expanded.html](https://wonder.cdc.gov/ucd-icd10-expanded.html) on February 18, 2026."


