"Title: Distribution of Body Mass Index Among Adults | KFF State Health Facts"
"Timeframe: 2021"
"Location","Underweight (BMI 12.0-18.4)","Normal Weight (BMI  18.5-24.9)","Overweight (BMI 25.0-29.9)","Obese (BMI 30-39.9)","Severely Obese (BMI of 40 or Higher)",Footnotes
"United States","0.016","0.301","0.355","0.272","0.055","1"
"Alabama","0.017","0.261","0.333","0.320","0.069"
"Alaska","0.011","0.300","0.350","0.280","0.058"
"Arizona","0.018","0.304","0.366","0.267","0.044"
"Arkansas","0.020","0.271","0.327","0.317","0.065"
"California","0.019","0.332","0.366","0.243","0.040"
"Colorado","0.020","0.361","0.367","0.218","0.035"
"Connecticut","0.018","0.317","0.368","0.251","0.046"
"Delaware","0.013","0.278","0.357","0.290","0.062"
"District of Columbia","0.016","0.420","0.322","0.197","0.045"
"Florida","N/A","N/A","N/A","N/A","N/A"
"Georgia","0.018","0.294","0.355","0.275","0.058"
"Hawaii","0.021","0.382","0.351","0.213","0.032"
"Idaho","0.015","0.303","0.359","0.268","0.054"
"Illinois","0.015","0.309","0.358","0.256","0.061"
"Indiana","0.016","0.275","0.342","0.298","0.069"
"Iowa","0.015","0.266","0.354","0.302","0.064"
"Kansas","0.012","0.268","0.354","0.297","0.068"
"Kentucky","0.019","0.248","0.342","0.304","0.088"
"Louisiana","0.017","0.268","0.337","0.310","0.068"
"Maine","0.017","0.325","0.345","0.260","0.052"
"Maryland","0.013","0.292","0.356","0.287","0.052"
"Massachusetts","0.017","0.357","0.352","0.233","0.041"
"Michigan","0.017","0.285","0.349","0.285","0.063"
"Minnesota","0.014","0.297","0.362","0.276","0.050"
"Mississippi","0.017","0.243","0.344","0.313","0.083"
"Missouri","0.014","0.294","0.330","0.291","0.071"
"Montana","0.015","0.308","0.367","0.261","0.049"
"Nebraska","0.014","0.264","0.357","0.302","0.062"
"Nevada","0.019","0.306","0.374","0.249","0.053"
"New Hampshire","0.015","0.317","0.363","0.261","0.043"
"New Jersey","0.015","0.312","0.387","0.248","0.037"
"New Mexico","0.019","0.286","0.362","0.282","0.051"
"New York","0.019","0.324","0.359","0.251","0.047"
"North Carolina","0.013","0.296","0.340","0.293","0.058"
"North Dakota","0.014","0.267","0.360","0.303","0.056"
"Ohio","0.012","0.266","0.341","0.304","0.077"
"Oklahoma","0.020","0.261","0.331","0.315","0.073"
"Oregon","0.020","0.325","0.350","0.252","0.054"
"Pennsylvania","0.012","0.311","0.346","0.277","0.055"
"Rhode Island","0.015","0.308","0.381","0.250","0.046"
"South Carolina","0.015","0.275","0.360","0.296","0.054"
"South Dakota","0.011","0.262","0.348","0.312","0.067"
"Tennessee","0.020","0.258","0.373","0.274","0.077"
"Texas","0.015","0.287","0.351","0.287","0.060"
"Utah","0.015","0.317","0.353","0.261","0.054"
"Vermont","0.015","0.361","0.339","0.235","0.050"
"Virginia","0.015","0.291","0.362","0.277","0.055"
"Washington","0.014","0.333","0.362","0.245","0.046"
"West Virginia","0.014","0.240","0.337","0.327","0.082"
"Wisconsin","0.016","0.296","0.354","0.284","0.050"
"Wyoming","0.016","0.293","0.377","0.273","0.041"

"Notes"
"An adult who has a BMI of 40 or higher is considered severely obese."
""
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2021-2024 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*NSD*: Estimates are not provided if the relative standard error exceeds 30% or if the denominator is based on fewer than 50 respondents in the unweighted sample. "
""
"*N/A*: Data not available. US Virgin Islands is only included in BRFSS in 2023 and 2024. Florida was unable to collect BRFSS data over enough months to meet the minimum requirements for inclusion in 2021, and Kentucky and Pennsylvania did not meet minimum requirements for inclusion in 2023. Tennessee was unable to collect enough data to meet the minimum requirements for inclusion in 2024."


Footnotes
"1. US totals exclude data from the territories."
