State,2021_Families!!Estimate_Mean income (dollars),2021_Families!!Estimate_Median income (dollars),2021_Families!!Estimate_Total,2021_Families!!Estimate_    Family income in the past 12 months,2021_Households!!Estimate_Mean income (dollars),2021_Households!!Estimate_Median income (dollars),2021_Households!!Estimate_Total,2021_Households!!Estimate_    Household income in the past 12 months,2021_Married-couple families!!Estimate_Mean income (dollars),2021_Married-couple families!!Estimate_Median income (dollars),2021_Married-couple families!!Estimate_Total,2021_Nonfamily households!!Estimate_Mean income (dollars),2021_Nonfamily households!!Estimate_Median income (dollars),2021_Nonfamily households!!Estimate_Total,2021_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,2022_Families!!Estimate_Mean income (dollars),2022_Families!!Estimate_Median income (dollars),2022_Families!!Estimate_Total,2022_Families!!Estimate_    Family income in the past 12 months,2022_Households!!Estimate_Mean income (dollars),2022_Households!!Estimate_Median income (dollars),2022_Households!!Estimate_Total,2022_Households!!Estimate_    Household income in the past 12 months,2022_Married-couple families!!Estimate_Mean income (dollars),2022_Married-couple families!!Estimate_Median income (dollars),2022_Married-couple families!!Estimate_Total,2022_Nonfamily households!!Estimate_Mean income (dollars),2022_Nonfamily households!!Estimate_Median income (dollars),2022_Nonfamily households!!Estimate_Total,2022_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,2023_Families!!Estimate_Mean income (dollars),2023_Families!!Estimate_Median income (dollars),2023_Families!!Estimate_Total,2023_Families!!Estimate_    Family income in the past 12 months,2023_Households!!Estimate_Mean income (dollars),2023_Households!!Estimate_Median income (dollars),2023_Households!!Estimate_Total,2023_Households!!Estimate_    Household income in the past 12 months,2023_Married-couple families!!Estimate_Mean income (dollars),2023_Married-couple families!!Estimate_Median income (dollars),2023_Married-couple families!!Estimate_Total,2023_Nonfamily households!!Estimate_Mean income (dollars),2023_Nonfamily households!!Estimate_Median income (dollars),2023_Nonfamily households!!Estimate_Total,2023_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,2024_Families!!Estimate_Mean income (dollars),2024_Families!!Estimate_Median income (dollars),2024_Families!!Estimate_Total,2024_Families!!Estimate_    Family income in the past 12 months,2024_Households!!Estimate_Mean income (dollars),2024_Households!!Estimate_Median income (dollars),2024_Households!!Estimate_Total,2024_Households!!Estimate_    Household income in the past 12 months,2024_Married-couple families!!Estimate_Mean income (dollars),2024_Married-couple families!!Estimate_Median income (dollars),2024_Married-couple families!!Estimate_Total,2024_Nonfamily households!!Estimate_Mean income (dollars),2024_Nonfamily households!!Estimate_Median income (dollars),2024_Nonfamily households!!Estimate_Total,2024_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months
Alabama,"92,591","71,006","1,271,383",43.2%,"75,923","53,913","1,967,559",41.0%,"109,580","87,316","904,392","42,781","30,575","696,176",36.0%,"100,785","77,668","1,308,988",40.8%,"82,956","59,674","2,016,448",38.9%,"118,799","94,370","941,596","47,145","32,330","707,460",34.2%,"103,839","79,940","1,328,854",40.3%,"85,530","62,212","2,051,545",38.7%,"123,679","97,749","949,532","48,701","34,218","722,691",34.4%,"109,959","84,851","1,328,397",39.6%,"90,741","66,659","2,059,528",37.6%,"130,247","103,819","945,230","52,804","37,952","731,131",33.2%
Alaska,"117,828","95,344","172,376",39.2%,"100,519","77,845","271,311",36.7%,"133,300","109,728","129,937","64,656","48,081","98,935",31.1%,"124,663","105,329","175,789",37.7%,"109,524","88,121","274,574",35.9%,"141,287","115,920","129,511","74,242","57,657","98,785",30.3%,"133,034","105,752","171,370",39.4%,"114,201","86,631","276,852",36.5%,"150,477","123,157","128,090","78,066","56,638","105,482",29.8%,"143,328","114,035","176,794",38.6%,"122,082","95,665","274,045",36.8%,"159,180","130,953","135,772","77,659","55,560","97,251",30.9%
Arizona,"106,698","81,622","1,846,358",42.4%,"93,177","69,056","2,817,723",40.3%,"122,243","95,718","1,344,242","61,821","43,690","971,365",34.5%,"116,717","88,679","1,843,530",40.8%,"101,316","74,568","2,850,377",38.9%,"133,297","103,182","1,332,270","66,724","47,840","1,006,847",33.6%,"121,773","93,553","1,858,236",40.1%,"104,620","77,315","2,907,014",38.0%,"138,858","107,847","1,359,887","68,029","49,360","1,048,778",32.2%,"129,300","98,284","1,910,979",40.6%,"110,522","81,486","2,982,475",38.0%,"147,909","115,018","1,389,432","71,378","51,008","1,071,496",31.9%
Arkansas,"87,425","66,148","777,631",42.7%,"73,126","52,528","1,183,675",41.6%,"102,157","79,407","565,893","42,705","29,499","406,044",38.0%,"92,935","70,708","777,933",39.8%,"76,853","55,432","1,216,207",38.4%,"106,939","84,273","572,596","45,384","31,230","438,274",34.4%,"97,874","74,179","797,254",39.4%,"81,056","58,700","1,232,871",38.0%,"114,735","90,436","575,802","46,595","33,635","435,617",34.2%,"102,734","79,037","806,922",38.4%,"85,474","62,106","1,246,754",36.2%,"119,261","95,697","590,148","50,217","36,074","439,832",31.0%
California,"135,633","97,388","9,146,618",43.3%,"120,953","84,907","13,429,063",41.0%,"158,399","116,870","6,517,082","81,318","54,015","4,282,445",33.9%,"147,628","104,823","9,150,804",42.1%,"131,504","91,551","13,550,586",39.9%,"172,535","126,577","6,516,115","89,374","59,348","4,399,782",33.3%,"151,243","109,349","9,227,560",41.8%,"134,491","95,521","13,699,816",39.4%,"176,205","131,674","6,572,440","91,365","61,493","4,472,256",32.4%,"157,192","113,969","9,297,773",41.6%,"140,112","100,149","13,797,638",39.1%,"183,563","138,170","6,599,228","95,264","63,280","4,499,865",32.1%
Colorado,"131,631","102,073","1,448,655",37.2%,"110,650","82,254","2,313,042",35.8%,"148,093","116,632","1,124,072","71,042","51,542","864,387",32.0%,"142,387","109,592","1,464,182",35.4%,"119,039","89,302","2,384,584",34.0%,"159,025","125,490","1,144,446","77,519","57,553","920,402",30.8%,"148,071","115,335","1,486,623",35.4%,"124,578","92,911","2,428,261",33.9%,"165,947","132,187","1,160,768","82,221","60,009","941,638",30.5%,"157,149","121,209","1,528,321",35.0%,"131,072","97,113","2,479,892",33.4%,"175,703","138,217","1,196,874","83,834","62,537","951,571",30.0%
Connecticut,"146,203","106,576","916,362",41.6%,"120,009","83,771","1,428,313",40.1%,"172,356","129,296","664,848","68,045","45,211","511,951",35.8%,"157,696","115,183","902,539",41.2%,"128,160","88,429","1,433,635",39.0%,"185,623","139,531","658,900","72,770","50,964","531,096",33.8%,"158,476","115,351","923,233",40.9%,"131,007","91,665","1,442,969",38.7%,"186,154","140,908","668,432","76,375","53,431","519,736",33.7%,"169,866","122,804","924,268",40.5%,"139,313","96,049","1,455,235",38.1%,"202,522","151,587","663,179","79,634","56,795","530,967",32.8%
Delaware,"111,504","87,132","256,408",38.1%,"95,633","71,091","395,656",36.6%,"128,021","102,769","186,477","57,720","45,456","139,248",32.6%,"124,756","100,128","263,885",37.8%,"105,438","82,174","402,334",35.4%,"139,819","112,712","197,223","62,657","46,579","138,449",29.7%,"129,963","100,727","268,496",35.7%,"109,486","81,361","412,048",33.9%,"148,243","117,885","196,308","65,978","49,863","143,552",28.9%,"134,249","105,622","271,399",39.2%,"114,291","87,534","412,304",36.9%,"152,467","123,300","196,270","70,705","51,848","140,905",31.0%
District of Columbia,"192,346","136,184","128,733",40.1%,"138,856","90,088","319,565",32.2%,N,"215,121","77,478","100,084","76,236","190,832",26.3%,"202,466","146,477","123,868",40.5%,"148,872","101,027","326,970",30.6%,"265,991","213,692","77,550","112,447","82,505","203,102",24.0%,"217,653","157,210","137,504",38.9%,"160,752","108,210","334,673",32.1%,N,"239,178","85,373","116,108","89,007","197,169",26.6%,"214,468","151,049","137,241",36.7%,"161,107","109,707","329,687",31.2%,"296,077","228,926","82,541","119,367","91,309","192,446",26.3%
Florida,"104,500","76,199","5,510,665",43.2%,"89,573","63,062","8,565,329",41.5%,"120,652","90,018","3,975,785","57,751","39,766","3,054,664",37.1%,"115,717","83,410","5,684,399",40.2%,"99,349","69,303","8,826,394",38.2%,"134,074","98,444","4,119,638","64,627","43,665","3,141,995",33.1%,"120,444","88,238","5,802,895",40.0%,"103,634","73,311","8,966,402",38.0%,"138,273","103,336","4,213,940","67,400","45,957","3,163,507",32.9%,"126,758","93,615","5,922,660",39.7%,"108,835","77,735","9,141,675",37.7%,"146,315","109,871","4,288,206","70,356","47,966","3,219,015",32.3%
