,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
,Diabetes,Families!!Estimate_Mean income (dollars),Families!!Estimate_Median income (dollars),Families!!Estimate_Total,Families!!Estimate_    Family income in the past 12 months,Heart_Disease,Households!!Estimate_Mean income (dollars),Households!!Estimate_Median income (dollars),Households!!Estimate_Total,Households!!Estimate_    Household income in the past 12 months,Married-couple families!!Estimate_Mean income (dollars),Married-couple families!!Estimate_Median income (dollars),Married-couple families!!Estimate_Total,Nonfamily households!!Estimate_Mean income (dollars),Nonfamily households!!Estimate_Median income (dollars),Nonfamily households!!Estimate_Total,Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,Obesity,Poor_Health,Diabetes,Families!!Estimate_Mean income (dollars),Families!!Estimate_Median income (dollars),Families!!Estimate_Total,Families!!Estimate_    Family income in the past 12 months,Heart_Disease,Households!!Estimate_Mean income (dollars),Households!!Estimate_Median income (dollars),Households!!Estimate_Total,Households!!Estimate_    Household income in the past 12 months,Married-couple families!!Estimate_Mean income (dollars),Married-couple families!!Estimate_Median income (dollars),Married-couple families!!Estimate_Total,Nonfamily households!!Estimate_Mean income (dollars),Nonfamily households!!Estimate_Median income (dollars),Nonfamily households!!Estimate_Total,Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,Obesity,Poor_Health,Diabetes,Families!!Estimate_Mean income (dollars),Families!!Estimate_Median income (dollars),Families!!Estimate_Total,Families!!Estimate_    Family income in the past 12 months,Heart_Disease,Households!!Estimate_Mean income (dollars),Households!!Estimate_Median income (dollars),Households!!Estimate_Total,Households!!Estimate_    Household income in the past 12 months,Married-couple families!!Estimate_Mean income (dollars),Married-couple families!!Estimate_Median income (dollars),Married-couple families!!Estimate_Total,Nonfamily households!!Estimate_Mean income (dollars),Nonfamily households!!Estimate_Median income (dollars),Nonfamily households!!Estimate_Total,Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,Obesity,Poor_Health,Diabetes,Families!!Estimate_Mean income (dollars),Families!!Estimate_Median income (dollars),Families!!Estimate_Total,Families!!Estimate_    Family income in the past 12 months,Heart_Disease,Households!!Estimate_Mean income (dollars),Households!!Estimate_Median income (dollars),Households!!Estimate_Total,Households!!Estimate_    Household income in the past 12 months,Married-couple families!!Estimate_Mean income (dollars),Married-couple families!!Estimate_Median income (dollars),Married-couple families!!Estimate_Total,Nonfamily households!!Estimate_Mean income (dollars),Nonfamily households!!Estimate_Median income (dollars),Nonfamily households!!Estimate_Total,Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,Obesity,Poor_Health
State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,26.3,"92,591","71,006","1,271,383",43.2%,247.5,"75,923","53,913","1,967,559",41.0%,"109,580","87,316","904,392","42,781","30,575","696,176",36.0%,0.389,0.057,25.4,"100,785","77,668","1,308,988",40.8%,234.2,"82,956","59,674","2,016,448",38.9%,"118,799","94,370","941,596","47,145","32,330","707,460",34.2%,0.399,0.061,22.1,"103,839","79,940","1,328,854",40.3%,227.3,"85,530","62,212","2,051,545",38.7%,"123,679","97,749","949,532","48,701","34,218","722,691",34.4%,0.392,0.052,22.4,"109,959","84,851","1,328,397",39.6%,223.9,"90,741","66,659","2,059,528",37.6%,"130,247","103,819","945,230","52,804","37,952","731,131",33.2%,0.389,0.052
Alaska,27.0,"117,828","95,344","172,376",39.2%,154.7,"100,519","77,845","271,311",36.7%,"133,300","109,728","129,937","64,656","48,081","98,935",31.1%,0.338,0.034,25.6,"124,663","105,329","175,789",37.7%,145.7,"109,524","88,121","274,574",35.9%,"141,287","115,920","129,511","74,242","57,657","98,785",30.3%,0.315,0.046,18.4,"133,034","105,752","171,370",39.4%,133.0,"114,201","86,631","276,852",36.5%,"150,477","123,157","128,090","78,066","56,638","105,482",29.8%,0.351,0.052,21.9,"143,328","114,035","176,794",38.6%,116.3,"122,082","95,665","274,045",36.8%,"159,180","130,953","135,772","77,659","55,560","97,251",30.9%,0.34,0.045
Arizona,27.3,"106,698","81,622","1,846,358",42.4%,158.3,"93,177","69,056","2,817,723",40.3%,"122,243","95,718","1,344,242","61,821","43,690","971,365",34.5%,0.311,0.04,25.1,"116,717","88,679","1,843,530",40.8%,148.5,"101,316","74,568","2,850,377",38.9%,"133,297","103,182","1,332,270","66,724","47,840","1,006,847",33.6%,0.321,0.043,23.6,"121,773","93,553","1,858,236",40.1%,145.3,"104,620","77,315","2,907,014",38.0%,"138,858","107,847","1,359,887","68,029","49,360","1,048,778",32.2%,0.319,0.044,23.8,"129,300","98,284","1,910,979",40.6%,141.9,"110,522","81,486","2,982,475",38.0%,"147,909","115,018","1,389,432","71,378","51,008","1,071,496",31.9%,0.333,0.047
Arkansas,39.3,"87,425","66,148","777,631",42.7%,231.0,"73,126","52,528","1,183,675",41.6%,"102,157","79,407","565,893","42,705","29,499","406,044",38.0%,0.382,0.069,36.0,"92,935","70,708","777,933",39.8%,224.1,"76,853","55,432","1,216,207",38.4%,"106,939","84,273","572,596","45,384","31,230","438,274",34.4%,0.369,0.073,32.7,"97,874","74,179","797,254",39.4%,218.8,"81,056","58,700","1,232,871",38.0%,"114,735","90,436","575,802","46,595","33,635","435,617",34.2%,0.4,0.062,31.9,"102,734","79,037","806,922",38.4%,217.1,"85,474","62,106","1,246,754",36.2%,"119,261","95,697","590,148","50,217","36,074","439,832",31.0%,0.389,0.06
California,25.5,"135,633","97,388","9,146,618",43.3%,147.8,"120,953","84,907","13,429,063",41.0%,"158,399","116,870","6,517,082","81,318","54,015","4,282,445",33.9%,0.283,0.04,25.0,"147,628","104,823","9,150,804",42.1%,142.4,"131,504","91,551","13,550,586",39.9%,"172,535","126,577","6,516,115","89,374","59,348","4,399,782",33.3%,0.274,0.038,24.1,"151,243","109,349","9,227,560",41.8%,138.1,"134,491","95,521","13,699,816",39.4%,"176,205","131,674","6,572,440","91,365","61,493","4,472,256",32.4%,0.277,0.043,23.0,"157,192","113,969","9,297,773",41.6%,130.4,"140,112","100,149","13,797,638",39.1%,"183,563","138,170","6,599,228","95,264","63,280","4,499,865",32.1%,0.29,0.049
Colorado,19.0,"131,631","102,073","1,448,655",37.2%,135.1,"110,650","82,254","2,313,042",35.8%,"148,093","116,632","1,124,072","71,042","51,542","864,387",32.0%,0.253,0.032,18.5,"142,387","109,592","1,464,182",35.4%,131.4,"119,039","89,302","2,384,584",34.0%,"159,025","125,490","1,144,446","77,519","57,553","920,402",30.8%,0.253,0.036,16.3,"148,071","115,335","1,486,623",35.4%,126.6,"124,578","92,911","2,428,261",33.9%,"165,947","132,187","1,160,768","82,221","60,009","941,638",30.5%,0.249,0.033,17.3,"157,149","121,209","1,528,321",35.0%,118.8,"131,072","97,113","2,479,892",33.4%,"175,703","138,217","1,196,874","83,834","62,537","951,571",30.0%,0.249,0.035
Connecticut,15.9,"146,203","106,576","916,362",41.6%,136.7,"120,009","83,771","1,428,313",40.1%,"172,356","129,296","664,848","68,045","45,211","511,951",35.8%,0.297,0.027,15.2,"157,696","115,183","902,539",41.2%,137.8,"128,160","88,429","1,433,635",39.0%,"185,623","139,531","658,900","72,770","50,964","531,096",33.8%,0.289,0.031,14.2,"158,476","115,351","923,233",40.9%,129.7,"131,007","91,665","1,442,969",38.7%,"186,154","140,908","668,432","76,375","53,431","519,736",33.7%,0.294,0.032,13.7,"169,866","122,804","924,268",40.5%,128.9,"139,313","96,049","1,455,235",38.1%,"202,522","151,587","663,179","79,634","56,795","530,967",32.8%,0.32,0.034
