,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
,Diabetes,Heart_Disease,Obesity,Poor_Health,Diabetes,Heart_Disease,Obesity,Poor_Health,Diabetes,Heart_Disease,Obesity,Poor_Health,Diabetes,Heart_Disease,Obesity,Poor_Health
State,,,,,,,,,,,,,,,,
Alabama,26.3,247.5,0.389,0.057,25.4,234.2,0.399,0.061,22.1,227.3,0.392,0.052,22.4,223.9,0.389,0.052
Alaska,27.0,154.7,0.338,0.034,25.6,145.7,0.315,0.046,18.4,133.0,0.351,0.052,21.9,116.3,0.34,0.045
Arizona,27.3,158.3,0.311,0.04,25.1,148.5,0.321,0.043,23.6,145.3,0.319,0.044,23.8,141.9,0.333,0.047
Arkansas,39.3,231.0,0.382,0.069,36.0,224.1,0.369,0.073,32.7,218.8,0.4,0.062,31.9,217.1,0.389,0.06
California,25.5,147.8,0.283,0.04,25.0,142.4,0.274,0.038,24.1,138.1,0.277,0.043,23.0,130.4,0.29,0.049
Colorado,19.0,135.1,0.253,0.032,18.5,131.4,0.253,0.036,16.3,126.6,0.249,0.033,17.3,118.8,0.249,0.035
Connecticut,15.9,136.7,0.297,0.027,15.2,137.8,0.289,0.031,14.2,129.7,0.294,0.032,13.7,128.9,0.32,0.034
Delaware,23.9,162.7,0.352,0.034,25.1,156.8,0.371,0.033,23.0,158.7,0.357,0.041,23.6,151.5,0.366,0.031
District of Columbia,24.4,192.8,0.242,0.029,18.2,182.6,0.243,0.025,19.6,153.6,0.236,0.026,22.1,154.6,0.255,0.026
Florida,24.8,151.3,,,22.3,140.9,0.287,0.044,21.1,138.4,0.301,0.042,20.5,134.5,0.294,0.046
Georgia,25.1,195.2,0.333,0.044,21.9,183.9,0.35,0.049,21.1,178.4,0.35,0.041,21.3,175.2,0.354,0.05
Hawaii,17.7,126.5,0.245,0.027,17.2,128.4,0.254,0.037,15.0,124.1,0.261,0.033,16.4,130.6,0.27,0.037
Idaho,24.4,166.4,0.322,0.039,20.5,156.3,0.331,0.048,18.7,146.0,0.309,0.04,16.6,146.6,0.327,0.037
Illinois,21.8,169.8,0.317,0.033,21.8,166.6,0.341,0.036,18.3,160.8,0.36,0.045,17.3,153.2,0.342,0.043
Indiana,31.3,191.2,0.367,0.048,29.8,185.0,0.378,0.05,27.1,183.1,0.378,0.049,25.7,179.6,0.384,0.052
Iowa,25.0,184.9,0.366,0.028,24.0,176.8,0.375,0.033,22.6,176.3,0.377,0.039,21.7,169.9,0.366,0.036
Kansas,25.6,176.1,0.365,0.034,26.2,173.2,0.358,0.035,24.6,168.9,0.359,0.041,24.2,160.9,0.376,0.041
Kentucky,32.5,217.5,0.392,0.072,29.4,208.6,0.373,0.071,28.6,197.1,,,27.1,196.9,0.372,0.07
Louisiana,35.7,235.5,0.378,0.057,29.9,224.0,0.389,0.064,28.6,217.7,0.399,0.059,26.9,220.0,0.392,0.063
Maine,27.0,168.4,0.312,0.039,28.2,167.1,0.319,0.038,25.2,161.6,0.326,0.05,25.5,156.4,0.332,0.051
Maryland,23.2,165.2,0.339,0.029,23.1,155.8,0.325,0.032,23.0,149.7,0.34,0.035,22.5,143.7,0.327,0.035
Massachusetts,17.3,134.0,0.274,0.026,16.1,132.3,0.277,0.031,15.5,129.0,0.274,0.035,14.4,121.5,0.27,0.038
Michigan,26.7,209.6,0.348,0.042,25.6,206.3,0.345,0.041,23.5,199.5,0.354,0.047,23.8,194.7,0.362,0.048
Minnesota,22.6,123.9,0.326,0.026,20.5,124.1,0.339,0.033,19.5,120.3,0.332,0.034,19.4,121.9,0.324,0.033
Mississippi,42.1,255.2,0.396,0.064,34.7,248.0,0.402,0.065,31.8,235.6,0.401,0.055,29.6,236.5,0.404,0.06
Missouri,24.0,202.4,0.362,0.047,23.5,199.8,0.361,0.053,23.3,188.6,0.352,0.049,20.4,187.5,0.346,0.052
Montana,21.6,175.2,0.31,0.038,22.0,165.9,0.298,0.04,22.0,162.2,0.305,0.043,22.5,164.8,0.31,0.048
Nebraska,24.6,160.8,0.364,0.028,22.1,154.3,0.363,0.034,23.9,158.8,0.365,0.034,24.5,152.7,0.377,0.036
Nevada,23.5,208.1,0.302,0.054,23.4,196.8,0.324,0.051,24.0,183.9,0.308,0.068,22.2,179.8,0.343,0.059
New Hampshire,20.8,154.1,0.304,0.028,22.3,147.5,0.299,0.036,18.8,150.3,0.328,0.04,17.3,140.2,0.311,0.036
New Jersey,17.6,157.5,0.285,0.034,17.3,152.8,0.29,0.038,15.1,146.2,0.289,0.034,14.8,141.8,0.276,0.032
New Mexico,31.0,156.5,0.333,0.043,31.2,156.8,0.311,0.059,28.1,163.0,0.353,0.061,23.3,155.5,0.345,0.047
New York,18.8,162.3,0.298,0.036,18.2,159.2,0.299,0.039,16.9,152.8,0.28,0.043,16.0,145.7,0.295,0.042
North Carolina,30.4,170.9,0.351,0.039,28.8,165.8,0.335,0.055,25.3,161.2,0.34,0.05,24.3,155.5,0.345,0.041
North Dakota,25.2,152.8,0.359,0.031,25.1,155.0,0.36,0.036,24.0,159.0,0.356,0.034,19.6,161.1,0.369,0.034
Ohio,29.5,204.7,0.381,0.04,27.6,193.9,0.383,0.044,26.1,183.7,0.364,0.044,23.7,183.7,0.369,0.048
Oklahoma,35.1,264.2,0.388,0.054,33.8,257.1,0.402,0.059,28.5,250.7,0.387,0.061,29.3,254.3,0.368,0.06
Oregon,25.9,148.5,0.306,0.036,25.4,145.4,0.312,0.044,23.6,142.3,0.336,0.048,22.6,132.7,0.335,0.049
Pennsylvania,23.5,180.6,0.332,0.037,22.6,173.4,0.329,0.043,20.4,166.6,,,20.0,162.4,0.342,0.048
Rhode Island,19.5,158.7,0.296,0.031,18.9,152.6,0.3,0.037,18.6,151.8,0.316,0.045,16.2,146.5,0.311,0.029
South Carolina,26.3,189.1,0.35,0.049,25.8,177.7,0.342,0.047,23.4,178.5,0.36,0.05,22.9,175.0,0.346,0.046
South Dakota,28.9,153.0,0.379,0.031,29.4,158.2,0.359,0.033,23.0,152.8,0.36,0.046,24.6,144.2,0.369,0.038
Tennessee,31.4,223.8,0.351,0.051,31.2,218.3,0.373,0.061,29.2,210.2,0.376,0.065,30.4,210.0,,
Texas,27.5,180.7,0.347,0.046,25.6,172.3,0.352,0.05,24.2,167.7,0.344,0.048,23.0,163.1,0.356,0.051
Utah,29.2,162.4,0.315,0.031,25.4,159.4,0.314,0.034,23.1,162.4,0.302,0.039,23.2,160.5,0.31,0.036
Vermont,17.9,175.7,0.285,0.031,18.9,165.1,0.26,0.034,18.9,153.0,0.287,0.033,17.8,157.6,0.29,0.03
Virginia,25.8,167.2,0.332,0.031,26.9,159.2,0.344,0.038,24.1,155.9,0.343,0.043,22.6,151.7,0.323,0.041
Washington,24.8,147.7,0.291,0.034,23.3,142.7,0.311,0.035,21.0,136.5,0.306,0.035,22.2,133.2,0.314,0.038
West Virginia,47.6,223.0,0.409,0.07,41.1,209.5,0.407,0.085,36.2,204.8,0.411,0.072,34.3,205.3,0.414,0.071
Wisconsin,22.6,171.7,0.334,0.034,19.1,166.6,0.372,0.039,18.8,167.3,0.359,0.043,18.9,160.1,0.374,0.046
Wyoming,23.9,159.4,0.314,0.042,24.5,157.1,0.335,0.035,25.2,151.7,0.333,0.048,22.1,156.2,0.325,0.052
