"Title: Total Diabetes Deaths | KFF State Health Facts"
"Timeframe: 2024"
"Location","Number of Diabetes Deaths","Diabetes Death Rate per 100,000 Population",Footnotes
"United States","94445","21.7","1"
"Alabama","1485","22.4"
"Alaska","172","21.9"
"Arizona","2440","23.8"
"Arkansas","1253","31.9"
"California","11124","23"
"Colorado","1193","17.3"
"Connecticut","702","13.7"
"Delaware","356","23.6"
"District of Columbia","157","22.1"
"Florida","7377","20.5"
"Georgia","2735","21.3"
"Hawaii","356","16.4"
"Idaho","405","16.6"
"Illinois","2826","17.3"
"Indiana","2201","25.7"
"Iowa","933","21.7"
"Kansas","895","24.2"
"Kentucky","1569","27.1"
"Louisiana","1529","26.9"
"Maine","568","25.5"
"Maryland","1787","22.5"
"Massachusetts","1378","14.4"
"Michigan","3264","23.8"
"Minnesota","1465","19.4"
"Mississippi","1072","29.6"
"Missouri","1679","20.4"
"Montana","349","22.5"
"Nebraska","598","24.5"
"Nevada","913","22.2"
"New Hampshire","361","17.3"
"New Jersey","1848","14.8"
"New Mexico","676","23.3"
"New York","4374","16"
"North Carolina","3389","24.3"
"North Dakota","191","19.6"
"Ohio","3759","23.7"
"Oklahoma","1405","29.3"
"Oregon","1328","22.6"
"Pennsylvania","3761","20"
"Rhode Island","254","16.2"
"South Carolina","1639","22.9"
"South Dakota","282","24.6"
"Tennessee","2734","30.4"
"Texas","7484","23"
"Utah","719","23.2"
"Vermont","177","17.8"
"Virginia","2511","22.6"
"Washington","2178","22.2"
"West Virginia","903","34.3"
"Wisconsin","1520","18.9"
"Wyoming","171","22.1"

"Notes"
"These figures are age-adjusted to the total U.S. population in 2000."
""
"Underlying cause of death is diabetes mellitus (ICD-10 codes: E10-E14)."

"Sources"
"Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death 1999-2024 on [CDC WONDER Online Database](http://wonder.cdc.gov/). Data are from the Multiple Cause of Death Files, 1999-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at [https://wonder.cdc.gov/ucd-icd10-expanded.html](https://wonder.cdc.gov/ucd-icd10-expanded.html) on February 18, 2026."


Footnotes
"1. U.S. rate does not include data from the territories."
