"Title: Adult Self-Reported Health Status | KFF State Health Facts"
"Timeframe: 2024"
"Location","Poor","Fair","Good","Very Good","Excellent",Footnotes
"United States","0.046","0.150","0.345","0.305","0.154","1"
"Alabama","0.052","0.169","0.349","0.289","0.142"
"Alaska","0.045","0.133","0.355","0.323","0.145"
"Arizona","0.047","0.154","0.328","0.314","0.158"
"Arkansas","0.060","0.187","0.352","0.274","0.127"
"California","0.049","0.162","0.353","0.278","0.158"
"Colorado","0.035","0.118","0.336","0.340","0.171"
"Connecticut","0.034","0.123","0.316","0.354","0.174"
"Delaware","0.031","0.155","0.364","0.325","0.125"
"District of Columbia","0.026","0.101","0.290","0.373","0.210"
"Florida","0.046","0.148","0.326","0.302","0.177"
"Georgia","0.050","0.149","0.344","0.313","0.144"
"Hawaii","0.037","0.134","0.377","0.283","0.170"
"Idaho","0.037","0.123","0.338","0.337","0.165"
"Illinois","0.043","0.155","0.361","0.289","0.152"
"Indiana","0.052","0.157","0.357","0.303","0.132"
"Iowa","0.036","0.144","0.368","0.318","0.134"
"Kansas","0.041","0.140","0.348","0.333","0.139"
"Kentucky","0.070","0.170","0.350","0.284","0.126"
"Louisiana","0.063","0.178","0.341","0.282","0.135"
"Maine","0.051","0.141","0.336","0.336","0.136"
"Maryland","0.035","0.130","0.356","0.329","0.151"
"Massachusetts","0.038","0.110","0.318","0.354","0.180"
"Michigan","0.048","0.163","0.355","0.306","0.128"
"Minnesota","0.033","0.119","0.340","0.354","0.154"
"Mississippi","0.060","0.170","0.382","0.256","0.132"
"Missouri","0.052","0.149","0.330","0.312","0.158"
"Montana","0.048","0.132","0.312","0.348","0.160"
"Nebraska","0.036","0.130","0.353","0.334","0.147"
"Nevada","0.059","0.161","0.351","0.303","0.127"
"New Hampshire","0.036","0.114","0.324","0.367","0.159"
"New Jersey","0.032","0.137","0.325","0.325","0.181"
"New Mexico","0.047","0.168","0.372","0.269","0.145"
"New York","0.042","0.144","0.344","0.313","0.158"
"North Carolina","0.041","0.135","0.359","0.317","0.149"
"North Dakota","0.034","0.118","0.349","0.352","0.148"
"Ohio","0.048","0.143","0.361","0.313","0.136"
"Oklahoma","0.060","0.149","0.355","0.304","0.132"
"Oregon","0.049","0.158","0.349","0.312","0.132"
"Pennsylvania","0.048","0.152","0.351","0.310","0.139"
"Rhode Island","0.029","0.145","0.316","0.350","0.161"
"South Carolina","0.046","0.151","0.327","0.314","0.163"
"South Dakota","0.038","0.141","0.310","0.339","0.172"
"Tennessee","N/A","N/A","N/A","N/A","N/A"
"Texas","0.051","0.161","0.353","0.276","0.159"
"Utah","0.036","0.115","0.329","0.331","0.188"
"Vermont","0.030","0.106","0.325","0.371","0.169"
"Virginia","0.041","0.127","0.328","0.331","0.174"
"Washington","0.038","0.134","0.345","0.334","0.149"
"West Virginia","0.071","0.192","0.354","0.280","0.102"
"Wisconsin","0.046","0.145","0.334","0.334","0.142"
"Wyoming","0.052","0.132","0.322","0.338","0.157"
"Guam","NSD","0.168","0.443","0.162","0.167"
"Puerto Rico","0.048","0.280","0.345","0.138","0.189"
"U.S. Virgin Islands","NSD","0.121","0.399","0.273","0.156"

"Notes"
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2024 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*NSD*: Estimates are not provided if the relative standard error exceeds 30% or if the denominator is based on fewer than 50 respondents in the unweighted sample. "
""
"*N/A*: Data not available. US Virgin Islands is only included in BRFSS in 2016, 2023, and 2024. Due to limited data, New Jersey was not included in the 2019 BRFSS aggregated data set. Florida was unable to collect BRFSS data over enough months to meet the minimum requirements for inclusion in 2021, and Kentucky and Pennsylvania did not meet minimum requirements for inclusion in 2023. Tennessee was unable to collect enough data to meet the minimum requirements for inclusion in 2024."


Footnotes
"1. US totals exclude data from the territories."
