"Title: Total Heart Disease Deaths | KFF State Health Facts"
"Timeframe: 2023"
"Location","Number of Heart Disease Deaths","Heart Disease Death Rate per 100,000"
"United States","680981","162.1"
"Alabama","14587","227.3"
"Alaska","918","133"
"Arizona","14641","145.3"
"Arkansas","8443","218.8"
"California","64173","138.1"
"Colorado","8109","126.6"
"Connecticut","6601","129.7"
"Delaware","2244","158.7"
"District of Columbia","1051","153.6"
"Florida","49495","138.4"
"Georgia","21273","178.4"
"Hawaii","2763","124.1"
"Idaho","3292","146"
"Illinois","25634","160.8"
"Indiana","15161","183.1"
"Iowa","7644","176.3"
"Kansas","6199","168.9"
"Kentucky","10988","197.1"
"Louisiana","11895","217.7"
"Maine","3475","161.6"
"Maryland","11529","149.7"
"Massachusetts","11959","129"
"Michigan","26205","199.5"
"Minnesota","8843","120.3"
"Mississippi","8441","235.6"
"Missouri","15137","188.6"
"Montana","2492","162.2"
"Nebraska","3853","158.8"
"Nevada","6989","183.9"
"New Hampshire","2988","150.3"
"New Jersey","17748","146.2"
"New Mexico","4616","163"
"New York","41172","152.8"
"North Carolina","21192","161.2"
"North Dakota","1576","159"
"Ohio","28193","183.7"
"Oklahoma","11913","250.7"
"Oregon","7832","142.3"
"Pennsylvania","30946","166.6"
"Rhode Island","2346","151.8"
"South Carolina","12277","178.5"
"South Dakota","1796","152.8"
"Tennessee","17955","210.2"
"Texas","50111","167.7"
"Utah","4509","162.4"
"Vermont","1436","153"
"Virginia","16487","155.9"
"Washington","12485","136.5"
"West Virginia","5244","204.8"
"Wisconsin","12999","167.3"
"Wyoming","1126","151.7"

"Notes"
"These figures are age-adjusted to the total U.S. population in 2000. Since death rates are affected by the population composition of a given area, age-adjusted death rates should be used for comparisons between areas because they control for differences in population composition."
""
"Causes of death attributable to heart disease mortality include ICD-10 Codes I00-I02;I05-I09; I11.0;I11.9;I13.0-I13.2;I13.9;I20-I28;I30-I51."

"Sources"
"Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death 1999-2024 on [CDC WONDER Online Database](http://wonder.cdc.gov/). Data are from the Multiple Cause of Death Files, 1999-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at [https://wonder.cdc.gov/ucd-icd10-expanded.html](https://wonder.cdc.gov/ucd-icd10-expanded.html) on February 18, 2026."


