"Title: Distribution of Body Mass Index Among Adults | KFF State Health Facts"
"Timeframe: 2022"
"Location","Underweight (BMI 12.0-18.4)","Normal Weight (BMI  18.5-24.9)","Overweight (BMI 25.0-29.9)","Obese (BMI 30-39.9)","Severely Obese (BMI of 40 or Higher)",Footnotes
"United States","0.018","0.301","0.353","0.273","0.055","1"
"Alabama","0.016","0.239","0.346","0.331","0.068"
"Alaska","0.014","0.292","0.378","0.261","0.054"
"Arizona","0.021","0.310","0.347","0.267","0.054"
"Arkansas","0.021","0.257","0.353","0.304","0.065"
"California","0.026","0.343","0.357","0.235","0.039"
"Colorado","0.019","0.368","0.360","0.219","0.034"
"Connecticut","0.017","0.313","0.380","0.248","0.041"
"Delaware","0.013","0.262","0.354","0.311","0.060"
"District of Columbia","0.021","0.412","0.324","0.196","0.047"
"Florida","0.018","0.332","0.362","0.244","0.043"
"Georgia","0.020","0.286","0.345","0.293","0.057"
"Hawaii","0.028","0.379","0.339","0.217","0.037"
"Idaho","0.017","0.292","0.359","0.276","0.055"
"Illinois","0.014","0.293","0.352","0.285","0.056"
"Indiana","0.015","0.259","0.348","0.301","0.077"
"Iowa","0.014","0.260","0.351","0.307","0.068"
"Kansas","0.014","0.281","0.346","0.292","0.066"
"Kentucky","0.018","0.264","0.345","0.292","0.081"
"Louisiana","0.016","0.260","0.335","0.311","0.078"
"Maine","0.015","0.317","0.349","0.267","0.052"
"Maryland","0.013","0.300","0.362","0.269","0.056"
"Massachusetts","0.020","0.347","0.356","0.239","0.038"
"Michigan","0.017","0.297","0.341","0.289","0.056"
"Minnesota","0.014","0.285","0.362","0.285","0.054"
"Mississippi","0.012","0.251","0.335","0.319","0.083"
"Missouri","0.014","0.280","0.345","0.291","0.070"
"Montana","0.018","0.315","0.369","0.252","0.046"
"Nebraska","0.012","0.268","0.357","0.299","0.064"
"Nevada","0.017","0.314","0.345","0.269","0.055"
"New Hampshire","0.017","0.310","0.374","0.249","0.050"
"New Jersey","0.014","0.324","0.372","0.254","0.036"
"New Mexico","0.023","0.303","0.362","0.259","0.052"
"New York","0.020","0.330","0.351","0.256","0.043"
"North Carolina","0.017","0.286","0.361","0.274","0.061"
"North Dakota","0.012","0.259","0.368","0.303","0.057"
"Ohio","0.017","0.261","0.340","0.306","0.077"
"Oklahoma","0.017","0.248","0.332","0.331","0.071"
"Oregon","0.015","0.310","0.363","0.254","0.058"
"Pennsylvania","0.011","0.310","0.350","0.280","0.049"
"Rhode Island","0.017","0.302","0.382","0.262","0.038"
"South Carolina","0.017","0.272","0.369","0.280","0.062"
"South Dakota","0.008","0.266","0.367","0.302","0.057"
"Tennessee","0.015","0.273","0.339","0.301","0.072"
"Texas","0.018","0.281","0.350","0.288","0.064"
"Utah","0.017","0.311","0.357","0.264","0.050"
"Vermont","0.016","0.367","0.357","0.218","0.042"
"Virginia","0.018","0.298","0.341","0.292","0.052"
"Washington","0.015","0.317","0.357","0.260","0.051"
"West Virginia","0.019","0.232","0.343","0.321","0.086"
"Wisconsin","0.014","0.266","0.348","0.306","0.066"
"Wyoming","0.016","0.282","0.367","0.283","0.052"

"Notes"
"An adult who has a BMI of 40 or higher is considered severely obese."
""
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2021-2024 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*NSD*: Estimates are not provided if the relative standard error exceeds 30% or if the denominator is based on fewer than 50 respondents in the unweighted sample. "
""
"*N/A*: Data not available. US Virgin Islands is only included in BRFSS in 2023 and 2024. Florida was unable to collect BRFSS data over enough months to meet the minimum requirements for inclusion in 2021, and Kentucky and Pennsylvania did not meet minimum requirements for inclusion in 2023. Tennessee was unable to collect enough data to meet the minimum requirements for inclusion in 2024."


Footnotes
"1. US totals exclude data from the territories."
