Year,State,Category,Label (Grouping),Value
2021,Alabama,Households!!Estimate,Total,"1,967,559"
2021,Alabama,Households!!Estimate,"    Less than $10,000",7.7%
2021,Alabama,Households!!Estimate,"    $10,000 to $14,999",5.6%
2021,Alabama,Households!!Estimate,"    $15,000 to $24,999",10.4%
2021,Alabama,Households!!Estimate,"    $25,000 to $34,999",9.4%
2021,Alabama,Households!!Estimate,"    $35,000 to $49,999",13.3%
2021,Alabama,Households!!Estimate,"    $50,000 to $74,999",17.3%
2021,Alabama,Households!!Estimate,"    $75,000 to $99,999",12.1%
2021,Alabama,Households!!Estimate,"    $100,000 to $149,999",13.2%
2021,Alabama,Households!!Estimate,"    $150,000 to $199,999",5.8%
2021,Alabama,Households!!Estimate,"    $200,000 or more",5.2%
2021,Alabama,Households!!Estimate,Median income (dollars),"53,913"
2021,Alabama,Households!!Estimate,Mean income (dollars),"75,923"
2021,Alabama,Households!!Estimate,PERCENT ALLOCATED,
2021,Alabama,Households!!Estimate,    Household income in the past 12 months,41.0%
2021,Alabama,Households!!Estimate,    Family income in the past 12 months,(X)
2021,Alabama,Households!!Estimate,    Nonfamily income in the past 12 months,(X)
2021,Alabama,Families!!Estimate,Total,"1,271,383"
2021,Alabama,Families!!Estimate,"    Less than $10,000",4.6%
2021,Alabama,Families!!Estimate,"    $10,000 to $14,999",2.9%
2021,Alabama,Families!!Estimate,"    $15,000 to $24,999",6.9%
2021,Alabama,Families!!Estimate,"    $25,000 to $34,999",7.9%
2021,Alabama,Families!!Estimate,"    $35,000 to $49,999",12.1%
2021,Alabama,Families!!Estimate,"    $50,000 to $74,999",18.3%
2021,Alabama,Families!!Estimate,"    $75,000 to $99,999",14.9%
2021,Alabama,Families!!Estimate,"    $100,000 to $149,999",17.3%
2021,Alabama,Families!!Estimate,"    $150,000 to $199,999",8.0%
2021,Alabama,Families!!Estimate,"    $200,000 or more",7.2%
2021,Alabama,Families!!Estimate,Median income (dollars),"71,006"
2021,Alabama,Families!!Estimate,Mean income (dollars),"92,591"
