"Title: Adults Who Report Ever Being Told by a Doctor that They Have Diabetes | KFF State Health Facts"
"Timeframe: 2024"
"Location","Yes","Yes, Pregnancy-Related","No","No, Pre-Diabetes or Borderline Diabetes",Footnotes
"United States","0.125","0.008","0.840","0.026","1"
"Alabama","0.151","0.009","0.814","0.027"
"Alaska","0.094","0.012","0.874","0.021"
"Arizona","0.115","0.010","0.854","0.020"
"Arkansas","0.153","0.008","0.827","0.012"
"California","0.126","0.009","0.821","0.044"
"Colorado","0.084","0.008","0.887","0.021"
"Connecticut","0.117","0.008","0.857","0.019"
"Delaware","0.132","0.007","0.825","0.036"
"District of Columbia","0.084","NSD","0.882","0.024"
"Florida","0.119","0.005","0.851","0.024"
"Georgia","0.128","0.006","0.841","0.025"
"Hawaii","0.115","0.011","0.833","0.041"
"Idaho","0.093","0.006","0.872","0.029"
"Illinois","0.128","0.010","0.840","0.022"
"Indiana","0.143","0.009","0.827","0.022"
"Iowa","0.114","0.011","0.855","0.021"
"Kansas","0.125","0.008","0.849","0.017"
"Kentucky","0.162","0.010","0.811","0.017"
"Louisiana","0.154","0.011","0.795","0.040"
"Maine","0.115","0.008","0.861","0.015"
"Maryland","0.124","0.010","0.831","0.034"
"Massachusetts","0.096","0.008","0.876","0.021"
"Michigan","0.136","0.008","0.843","0.014"
"Minnesota","0.101","0.010","0.872","0.017"
"Mississippi","0.152","0.005","0.816","0.027"
"Missouri","0.112","0.005","0.856","0.026"
"Montana","0.087","0.007","0.883","0.023"
"Nebraska","0.105","0.009","0.867","0.019"
"Nevada","0.136","NSD","0.816","0.038"
"New Hampshire","0.101","0.008","0.876","0.016"
"New Jersey","0.108","0.007","0.857","0.028"
"New Mexico","0.123","0.010","0.832","0.036"
"New York","0.123","0.008","0.846","0.023"
"North Carolina","0.132","0.007","0.828","0.033"
"North Dakota","0.106","0.007","0.869","0.017"
"Ohio","0.131","0.011","0.837","0.020"
"Oklahoma","0.132","0.011","0.833","0.024"
"Oregon","0.120","0.006","0.852","0.022"
"Pennsylvania","0.133","0.009","0.831","0.028"
"Rhode Island","0.116","0.009","0.859","0.017"
"South Carolina","0.139","0.009","0.835","0.018"
"South Dakota","0.118","NSD","0.859","0.011"
"Tennessee","N/A","N/A","N/A","N/A"
"Texas","0.135","0.008","0.834","0.023"
"Utah","0.087","0.012","0.877","0.024"
"Vermont","0.089","0.007","0.888","0.016"
"Virginia","0.129","0.005","0.841","0.025"
"Washington","0.100","0.010","0.866","0.024"
"West Virginia","0.184","0.010","0.781","0.026"
"Wisconsin","0.119","0.010","0.845","0.025"
"Wyoming","0.101","0.008","0.864","0.028"
"Guam","0.133","NSD","0.816","0.033"
"Puerto Rico","0.178","NSD","0.769","0.052"
"U.S. Virgin Islands","0.178","NSD","0.782","0.035"

"Notes"
"Data represent adults who report ever being told by a doctor that they have diabetes. Percentages are weighted to reflect population characteristics. "
""
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2024 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*NSD*: Estimates are not provided if the relative standard error exceeds 30% or if the denominator is based on fewer than 50 respondents in the unweighted sample. "
""
"*N/A*: Data not available. US Virgin Islands is only included in BRFSS in 2016, 2023, and 2024. Due to limited data, New Jersey was not included in the 2019 BRFSS aggregated data set. Florida was unable to collect BRFSS data over enough months to meet the minimum requirements for inclusion in 2021, and Kentucky and Pennsylvania did not meet minimum requirements for inclusion in 2023. Tennessee was unable to collect enough data to meet the minimum requirements for inclusion in 2024."


Footnotes
"1. US totals exclude data from the territories."
