"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Labor Force Participation Rate!!Estimate","United States!!Labor Force Participation Rate!!Margin of Error","United States!!Employment/Population Ratio!!Estimate","United States!!Employment/Population Ratio!!Margin of Error","United States!!Unemployment rate!!Estimate","United States!!Unemployment rate!!Margin of Error"
"Population 16 years and over","276,249,478","±52,420","64.0%","±0.1","60.6%","±0.1","4.6%","±0.1"
"    AGE","","","","","","","",""
"        16 to 19 years","18,106,204","±54,035","40.3%","±0.2","33.8%","±0.2","15.1%","±0.3"
"        20 to 24 years","22,232,555","±38,762","76.8%","±0.2","69.0%","±0.2","8.2%","±0.1"
"        25 to 29 years","22,323,951","±32,411","85.0%","±0.2","79.5%","±0.2","5.2%","±0.1"
"        30 to 34 years","23,874,454","±27,146","85.2%","±0.2","80.6%","±0.2","4.4%","±0.1"
"        35 to 44 years","45,956,885","±36,741","84.5%","±0.1","80.7%","±0.1","3.9%","±0.1"
"        45 to 54 years","40,822,885","±34,958","83.1%","±0.1","80.2%","±0.1","3.2%","±0.1"
"        55 to 59 years","19,958,796","±64,318","75.5%","±0.2","73.2%","±0.2","3.1%","±0.1"
"        60 to 64 years","21,728,465","±68,510","60.9%","±0.2","59.1%","±0.2","2.9%","±0.1"
"        65 to 74 years","35,585,091","±21,264","27.8%","±0.1","27.0%","±0.1","3.0%","±0.1"
"        75 years and over","25,660,192","±16,745","7.9%","±0.1","7.6%","±0.1","3.1%","±0.2"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        White alone","170,579,011","±99,919","62.2%","±0.1","59.5%","±0.1","3.7%","±0.1"
"        Black or African American alone","32,741,107","±66,829","64.0%","±0.2","58.5%","±0.2","7.8%","±0.1"
"        American Indian and Alaska Native alone","2,708,325","±42,404","63.5%","±0.5","58.6%","±0.5","7.2%","±0.4"
"        Asian alone","17,907,093","±34,923","67.7%","±0.2","64.6%","±0.2","4.0%","±0.1"
"        Native Hawaiian and Other Pacific Islander alone","513,307","±12,798","66.4%","±1.2","60.2%","±1.4","6.6%","±1.0"
"        Some other race alone","19,489,323","±100,286","69.1%","±0.2","64.8%","±0.2","5.9%","±0.1"
"        Two or more races","32,311,312","±141,123","68.1%","±0.1","63.7%","±0.2","5.6%","±0.1"
"        Hispanic or Latino origin (of any race)","50,857,593","±25,296","69.0%","±0.1","64.7%","±0.1","5.7%","±0.1"
"        White alone, not Hispanic or Latino","161,994,981","±47,187","61.8%","±0.1","59.2%","±0.1","3.6%","±0.1"
"Population 20 to 64 years","196,897,991","±48,743","80.0%","±0.1","76.0%","±0.1","4.3%","±0.1"
"    SEX","","","","","","","",""
"        Male","98,636,266","±33,239","83.8%","±0.1","79.2%","±0.1","4.4%","±0.1"
"        Female","98,261,725","±32,750","76.1%","±0.1","72.8%","±0.1","4.2%","±0.1"
"            With own children under 18 years","32,817,471","±83,452","76.9%","±0.2","73.6%","±0.2","4.1%","±0.1"
"                With own children under 6 years only","7,160,193","±50,389","74.8%","±0.4","71.1%","±0.4","4.5%","±0.2"
"                With own children under 6 years and 6 to 17  years","6,321,005","±45,349","68.9%","±0.4","65.1%","±0.4","5.2%","±0.2"
"                With own children 6 to 17 years only","19,336,273","±75,488","80.4%","±0.2","77.3%","±0.2","3.6%","±0.1"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"        Below poverty level","21,300,139","±128,933","48.0%","±0.2","38.5%","±0.2","19.6%","±0.3"
"        At or above the poverty level","172,059,268","±156,313","85.1%","±0.1","81.8%","±0.1","3.2%","±0.1"
"    DISABILITY STATUS","","","","","","","",""
"        With any disability","21,767,342","±96,167","52.0%","±0.2","46.8%","±0.2","9.5%","±0.2"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 to 64 years","174,665,436","±58,758","80.4%","±0.1","76.9%","±0.1","3.8%","±0.1"
"        Less than high school graduate","16,678,710","±120,513","63.7%","±0.3","59.2%","±0.2","7.0%","±0.2"
"        High school graduate (includes equivalency)","42,797,003","±168,948","73.8%","±0.1","69.8%","±0.2","5.0%","±0.1"
"        Some college or associate's degree","47,670,777","±124,780","80.8%","±0.1","77.0%","±0.1","3.9%","±0.1"
"        Bachelor's degree or higher","67,518,946","±260,715","88.4%","±0.1","85.6%","±0.1","2.5%","±0.1"
