State,Median_Income,Diabetes,Diabetes_Prevalence,Poor_Health,Heart_Disease,Obesity,Physical_Activity,Smoking,Uninsured_Adults
Alabama,66659,22.4,0.151,0.052,223.9,0.389,0.724,0.14,0.888
Alaska,95665,21.9,0.094,0.045,116.3,0.34,0.819,0.147,0.764
Arizona,81486,23.8,0.115,0.047,141.9,0.333,0.782,0.101,0.796
Arkansas,62106,31.9,0.153,0.06,217.1,0.389,0.715,0.165,0.821
California,100149,23.0,0.126,0.049,130.4,0.29,0.793,0.076,0.88
Colorado,97113,17.3,0.084,0.035,118.8,0.249,0.844,0.097,0.822
Connecticut,96049,13.7,0.117,0.034,128.9,0.32,0.792,0.09,0.911
Delaware,87534,23.6,0.132,0.031,151.5,0.366,0.748,0.101,0.793
District of Columbia,109707,22.1,0.084,0.026,154.6,0.255,0.861,0.085,0.875
Florida,77735,20.5,0.119,0.046,134.5,0.294,0.75,0.106,0.84
Georgia,79991,21.3,0.128,0.05,175.2,0.354,0.77,0.112,0.838
Hawaii,100745,16.4,0.115,0.037,130.6,0.27,0.787,0.081,0.821
Idaho,81166,16.6,0.093,0.037,146.6,0.327,0.793,0.096,0.776
Illinois,83211,17.3,0.128,0.043,153.2,0.342,0.767,0.105,0.886
Indiana,71959,25.7,0.143,0.052,179.6,0.384,0.754,0.139,0.794
Iowa,75501,21.7,0.114,0.036,169.9,0.366,0.782,0.129,0.834
Kansas,75514,24.2,0.125,0.041,160.9,0.376,0.776,0.137,0.797
Kentucky,64526,27.1,0.162,0.07,196.9,0.372,0.72,0.172,0.829
Louisiana,60986,26.9,0.154,0.063,220.0,0.392,0.724,0.15,0.874
Maine,76442,25.5,0.115,0.051,156.4,0.332,0.786,0.144,0.841
Maryland,102905,22.5,0.124,0.035,143.7,0.327,0.805,0.078,0.841
Massachusetts,104828,14.4,0.096,0.038,121.5,0.27,0.812,0.088,0.847
Michigan,72389,23.8,0.136,0.048,194.7,0.362,0.78,0.134,0.857
Minnesota,87117,19.4,0.101,0.033,121.9,0.324,0.825,0.102,0.826
Mississippi,59127,29.6,0.152,0.06,236.5,0.404,0.694,0.138,0.85
Missouri,71589,20.4,0.112,0.052,187.5,0.346,0.754,0.147,0.801
Montana,75340,22.5,0.087,0.048,164.8,0.31,0.809,0.122,0.813
Nebraska,76376,24.5,0.105,0.036,152.7,0.377,0.784,0.122,0.816
Nevada,81134,22.2,0.136,0.059,179.8,0.343,0.768,0.119,0.833
New Hampshire,99782,17.3,0.101,0.036,140.2,0.311,0.814,0.091,0.892
New Jersey,104294,14.8,0.108,0.032,141.8,0.276,0.772,0.086,0.862
New Mexico,67816,23.3,0.123,0.047,155.5,0.345,0.783,0.12,0.86
New York,85820,16.0,0.123,0.042,145.7,0.295,0.76,0.099,0.889
North Carolina,73958,24.3,0.132,0.041,155.5,0.345,0.798,0.115,0.855
North Dakota,77871,19.6,0.106,0.034,161.1,0.369,0.783,0.123,0.78
Ohio,72212,23.7,0.131,0.048,183.7,0.369,0.778,0.141,0.819
Oklahoma,66148,29.3,0.132,0.06,254.3,0.368,0.723,0.141,0.81
Oregon,85220,22.6,0.12,0.049,132.7,0.335,0.81,0.106,0.898
Pennsylvania,77545,20.0,0.133,0.048,162.4,0.342,0.773,0.117,0.789
Rhode Island,83504,16.2,0.116,0.029,146.5,0.311,0.771,0.099,0.838
South Carolina,72350,22.9,0.139,0.046,175.0,0.346,0.783,0.126,0.851
South Dakota,76881,24.6,0.118,0.038,144.2,0.369,0.786,0.135,0.797
Tennessee,71997,30.4,0.121,0.045,210.0,0.338,0.779,0.117,0.846
Texas,79721,23.0,0.135,0.051,163.1,0.356,0.749,0.1,0.784
Utah,96658,23.2,0.087,0.036,160.5,0.31,0.832,0.057,0.772
Vermont,82730,17.8,0.089,0.03,157.6,0.29,0.84,0.105,0.89
Virginia,92090,22.6,0.129,0.041,151.7,0.323,0.781,0.111,0.826
Washington,99389,22.2,0.1,0.038,133.2,0.314,0.826,0.079,0.867
West Virginia,60798,34.3,0.184,0.071,205.3,0.414,0.713,0.208,0.9
Wisconsin,77488,18.9,0.119,0.046,160.1,0.374,0.783,0.119,0.83
Wyoming,75532,22.1,0.101,0.052,156.2,0.325,0.79,0.127,0.825
