"Title: Adults Who Report Smoking by Sex | KFF State Health Facts"
"Timeframe: 2024"
"Location","All Adults","Male","Female",Footnotes
"United States","0.109","0.121","0.096","1"
"Alabama","0.140","0.158","0.123"
"Alaska","0.147","0.169","0.122"
"Arizona","0.101","0.117","0.087"
"Arkansas","0.165","0.181","0.149"
"California","0.076","0.096","0.056"
"Colorado","0.097","0.111","0.083"
"Connecticut","0.090","0.096","0.085"
"Delaware","0.101","0.091","0.109"
"District of Columbia","0.085","0.100","0.072"
"Florida","0.106","0.116","0.097"
"Georgia","0.112","0.135","0.091"
"Hawaii","0.081","0.092","0.070"
"Idaho","0.096","0.121","0.070"
"Illinois","0.105","0.128","0.083"
"Indiana","0.139","0.145","0.134"
"Iowa","0.129","0.135","0.123"
"Kansas","0.137","0.150","0.125"
"Kentucky","0.172","0.182","0.162"
"Louisiana","0.150","0.157","0.144"
"Maine","0.144","0.159","0.129"
"Maryland","0.078","0.088","0.068"
"Massachusetts","0.088","0.098","0.078"
"Michigan","0.134","0.136","0.132"
"Minnesota","0.102","0.111","0.093"
"Mississippi","0.138","0.160","0.118"
"Missouri","0.147","0.150","0.144"
"Montana","0.122","0.119","0.125"
"Nebraska","0.122","0.137","0.107"
"Nevada","0.119","0.135","0.101"
"New Hampshire","0.091","0.085","0.097"
"New Jersey","0.086","0.094","0.078"
"New Mexico","0.120","0.135","0.104"
"New York","0.099","0.115","0.084"
"North Carolina","0.115","0.135","0.097"
"North Dakota","0.123","0.130","0.116"
"Ohio","0.141","0.154","0.129"
"Oklahoma","0.141","0.148","0.133"
"Oregon","0.106","0.123","0.089"
"Pennsylvania","0.117","0.128","0.107"
"Rhode Island","0.099","0.113","0.086"
"South Carolina","0.126","0.136","0.117"
"South Dakota","0.135","0.145","0.124"
"Tennessee","N/A","N/A","N/A"
"Texas","0.100","0.111","0.089"
"Utah","0.057","0.067","0.047"
"Vermont","0.105","0.118","0.093"
"Virginia","0.111","0.126","0.096"
"Washington","0.079","0.088","0.070"
"West Virginia","0.208","0.203","0.213"
"Wisconsin","0.119","0.124","0.114"
"Wyoming","0.127","0.142","0.111"
"Guam","0.183","0.202","NSD"
"Puerto Rico","0.085","0.128","0.047"
"U.S. Virgin Islands","0.027","NSD","NSD"

"Notes"
"Data represent adults who reported that they currently smoke every day or some days. Percentages are weighted to reflect population characteristics."
""
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2024 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*NSD*: Estimates are not provided if the relative standard error exceeds 30% or if the denominator is based on fewer than 50 respondents in the unweighted sample. "
""
"*N/A*: Data not available. US Virgin Islands is only included in BRFSS in 2016, 2023, and 2024. Due to limited data, New Jersey was not included in the 2019 BRFSS aggregated data set. Florida was unable to collect BRFSS data over enough months to meet the minimum requirements for inclusion in 2021, and Kentucky and Pennsylvania did not meet minimum requirements for inclusion in 2023. Tennessee was unable to collect enough data to meet the minimum requirements for inclusion in 2024."


Footnotes
"1. US totals exclude data from the territories."
