State,2021_Families!!Estimate_Mean income (dollars),2021_Families!!Estimate_Median income (dollars),2021_Families!!Estimate_PERCENT ALLOCATED,2021_Families!!Estimate_Total,2021_Families!!Estimate_    Family income in the past 12 months,2021_Families!!Estimate_    Household income in the past 12 months,2021_Families!!Estimate_    Nonfamily income in the past 12 months,2021_Households!!Estimate_Mean income (dollars),2021_Households!!Estimate_Median income (dollars),2021_Households!!Estimate_PERCENT ALLOCATED,2021_Households!!Estimate_Total,2021_Households!!Estimate_    Family income in the past 12 months,2021_Households!!Estimate_    Household income in the past 12 months,2021_Households!!Estimate_    Nonfamily income in the past 12 months,2021_Married-couple families!!Estimate_Mean income (dollars),2021_Married-couple families!!Estimate_Median income (dollars),2021_Married-couple families!!Estimate_PERCENT ALLOCATED,2021_Married-couple families!!Estimate_Total,2021_Married-couple families!!Estimate_    Family income in the past 12 months,2021_Married-couple families!!Estimate_    Household income in the past 12 months,2021_Married-couple families!!Estimate_    Nonfamily income in the past 12 months,2021_Nonfamily households!!Estimate_Mean income (dollars),2021_Nonfamily households!!Estimate_Median income (dollars),2021_Nonfamily households!!Estimate_PERCENT ALLOCATED,2021_Nonfamily households!!Estimate_Total,2021_Nonfamily households!!Estimate_    Family income in the past 12 months,2021_Nonfamily households!!Estimate_    Household income in the past 12 months,2021_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,2022_Families!!Estimate_Mean income (dollars),2022_Families!!Estimate_Median income (dollars),2022_Families!!Estimate_PERCENT ALLOCATED,2022_Families!!Estimate_Total,2022_Families!!Estimate_    Family income in the past 12 months,2022_Families!!Estimate_    Household income in the past 12 months,2022_Families!!Estimate_    Nonfamily income in the past 12 months,2022_Households!!Estimate_Mean income (dollars),2022_Households!!Estimate_Median income (dollars),2022_Households!!Estimate_PERCENT ALLOCATED,2022_Households!!Estimate_Total,2022_Households!!Estimate_    Family income in the past 12 months,2022_Households!!Estimate_    Household income in the past 12 months,2022_Households!!Estimate_    Nonfamily income in the past 12 months,2022_Married-couple families!!Estimate_Mean income (dollars),2022_Married-couple families!!Estimate_Median income (dollars),2022_Married-couple families!!Estimate_PERCENT ALLOCATED,2022_Married-couple families!!Estimate_Total,2022_Married-couple families!!Estimate_    Family income in the past 12 months,2022_Married-couple families!!Estimate_    Household income in the past 12 months,2022_Married-couple families!!Estimate_    Nonfamily income in the past 12 months,2022_Nonfamily households!!Estimate_Mean income (dollars),2022_Nonfamily households!!Estimate_Median income (dollars),2022_Nonfamily households!!Estimate_PERCENT ALLOCATED,2022_Nonfamily households!!Estimate_Total,2022_Nonfamily households!!Estimate_    Family income in the past 12 months,2022_Nonfamily households!!Estimate_    Household income in the past 12 months,2022_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,2023_Families!!Estimate_Mean income (dollars),2023_Families!!Estimate_Median income (dollars),2023_Families!!Estimate_PERCENT ALLOCATED,2023_Families!!Estimate_Total,2023_Families!!Estimate_    Family income in the past 12 months,2023_Families!!Estimate_    Household income in the past 12 months,2023_Families!!Estimate_    Nonfamily income in the past 12 months,2023_Households!!Estimate_Mean income (dollars),2023_Households!!Estimate_Median income (dollars),2023_Households!!Estimate_PERCENT ALLOCATED,2023_Households!!Estimate_Total,2023_Households!!Estimate_    Family income in the past 12 months,2023_Households!!Estimate_    Household income in the past 12 months,2023_Households!!Estimate_    Nonfamily income in the past 12 months,2023_Married-couple families!!Estimate_Mean income (dollars),2023_Married-couple families!!Estimate_Median income (dollars),2023_Married-couple families!!Estimate_PERCENT ALLOCATED,2023_Married-couple families!!Estimate_Total,2023_Married-couple families!!Estimate_    Family income in the past 12 months,2023_Married-couple families!!Estimate_    Household income in the past 12 months,2023_Married-couple families!!Estimate_    Nonfamily income in the past 12 months,2023_Nonfamily households!!Estimate_Mean income (dollars),2023_Nonfamily households!!Estimate_Median income (dollars),2023_Nonfamily households!!Estimate_PERCENT ALLOCATED,2023_Nonfamily households!!Estimate_Total,2023_Nonfamily households!!Estimate_    Family income in the past 12 months,2023_Nonfamily households!!Estimate_    Household income in the past 12 months,2023_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,2024_Families!!Estimate_Mean income (dollars),2024_Families!!Estimate_Median income (dollars),2024_Families!!Estimate_PERCENT ALLOCATED,2024_Families!!Estimate_Total,2024_Families!!Estimate_    Family income in the past 12 months,2024_Families!!Estimate_    Household income in the past 12 months,2024_Families!!Estimate_    Nonfamily income in the past 12 months,2024_Households!!Estimate_Mean income (dollars),2024_Households!!Estimate_Median income (dollars),2024_Households!!Estimate_PERCENT ALLOCATED,2024_Households!!Estimate_Total,2024_Households!!Estimate_    Family income in the past 12 months,2024_Households!!Estimate_    Household income in the past 12 months,2024_Households!!Estimate_    Nonfamily income in the past 12 months,2024_Married-couple families!!Estimate_Mean income (dollars),2024_Married-couple families!!Estimate_Median income (dollars),2024_Married-couple families!!Estimate_PERCENT ALLOCATED,2024_Married-couple families!!Estimate_Total,2024_Married-couple families!!Estimate_    Family income in the past 12 months,2024_Married-couple families!!Estimate_    Household income in the past 12 months,2024_Married-couple families!!Estimate_    Nonfamily income in the past 12 months,2024_Nonfamily households!!Estimate_Mean income (dollars),2024_Nonfamily households!!Estimate_Median income (dollars),2024_Nonfamily households!!Estimate_PERCENT ALLOCATED,2024_Nonfamily households!!Estimate_Total,2024_Nonfamily households!!Estimate_    Family income in the past 12 months,2024_Nonfamily households!!Estimate_    Household income in the past 12 months,2024_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months
Alabama,"92,591","71,006",,"1,271,383",43.2%,(X),(X),"75,923","53,913",,"1,967,559",(X),41.0%,(X),"109,580","87,316",,"904,392",(X),(X),(X),"42,781","30,575",,"696,176",(X),(X),36.0%,"100,785","77,668",,"1,308,988",40.8%,(X),(X),"82,956","59,674",,"2,016,448",(X),38.9%,(X),"118,799","94,370",,"941,596",(X),(X),(X),"47,145","32,330",,"707,460",(X),(X),34.2%,"103,839","79,940",,"1,328,854",40.3%,(X),(X),"85,530","62,212",,"2,051,545",(X),38.7%,(X),"123,679","97,749",,"949,532",(X),(X),(X),"48,701","34,218",,"722,691",(X),(X),34.4%,"109,959","84,851",,"1,328,397",39.6%,(X),(X),"90,741","66,659",,"2,059,528",(X),37.6%,(X),"130,247","103,819",,"945,230",(X),(X),(X),"52,804","37,952",,"731,131",(X),(X),33.2%
Alaska,"117,828","95,344",,"172,376",39.2%,(X),(X),"100,519","77,845",,"271,311",(X),36.7%,(X),"133,300","109,728",,"129,937",(X),(X),(X),"64,656","48,081",,"98,935",(X),(X),31.1%,"124,663","105,329",,"175,789",37.7%,(X),(X),"109,524","88,121",,"274,574",(X),35.9%,(X),"141,287","115,920",,"129,511",(X),(X),(X),"74,242","57,657",,"98,785",(X),(X),30.3%,"133,034","105,752",,"171,370",39.4%,(X),(X),"114,201","86,631",,"276,852",(X),36.5%,(X),"150,477","123,157",,"128,090",(X),(X),(X),"78,066","56,638",,"105,482",(X),(X),29.8%,"143,328","114,035",,"176,794",38.6%,(X),(X),"122,082","95,665",,"274,045",(X),36.8%,(X),"159,180","130,953",,"135,772",(X),(X),(X),"77,659","55,560",,"97,251",(X),(X),30.9%
Arizona,"106,698","81,622",,"1,846,358",42.4%,(X),(X),"93,177","69,056",,"2,817,723",(X),40.3%,(X),"122,243","95,718",,"1,344,242",(X),(X),(X),"61,821","43,690",,"971,365",(X),(X),34.5%,"116,717","88,679",,"1,843,530",40.8%,(X),(X),"101,316","74,568",,"2,850,377",(X),38.9%,(X),"133,297","103,182",,"1,332,270",(X),(X),(X),"66,724","47,840",,"1,006,847",(X),(X),33.6%,"121,773","93,553",,"1,858,236",40.1%,(X),(X),"104,620","77,315",,"2,907,014",(X),38.0%,(X),"138,858","107,847",,"1,359,887",(X),(X),(X),"68,029","49,360",,"1,048,778",(X),(X),32.2%,"129,300","98,284",,"1,910,979",40.6%,(X),(X),"110,522","81,486",,"2,982,475",(X),38.0%,(X),"147,909","115,018",,"1,389,432",(X),(X),(X),"71,378","51,008",,"1,071,496",(X),(X),31.9%
Arkansas,"87,425","66,148",,"777,631",42.7%,(X),(X),"73,126","52,528",,"1,183,675",(X),41.6%,(X),"102,157","79,407",,"565,893",(X),(X),(X),"42,705","29,499",,"406,044",(X),(X),38.0%,"92,935","70,708",,"777,933",39.8%,(X),(X),"76,853","55,432",,"1,216,207",(X),38.4%,(X),"106,939","84,273",,"572,596",(X),(X),(X),"45,384","31,230",,"438,274",(X),(X),34.4%,"97,874","74,179",,"797,254",39.4%,(X),(X),"81,056","58,700",,"1,232,871",(X),38.0%,(X),"114,735","90,436",,"575,802",(X),(X),(X),"46,595","33,635",,"435,617",(X),(X),34.2%,"102,734","79,037",,"806,922",38.4%,(X),(X),"85,474","62,106",,"1,246,754",(X),36.2%,(X),"119,261","95,697",,"590,148",(X),(X),(X),"50,217","36,074",,"439,832",(X),(X),31.0%
California,"135,633","97,388",,"9,146,618",43.3%,(X),(X),"120,953","84,907",,"13,429,063",(X),41.0%,(X),"158,399","116,870",,"6,517,082",(X),(X),(X),"81,318","54,015",,"4,282,445",(X),(X),33.9%,"147,628","104,823",,"9,150,804",42.1%,(X),(X),"131,504","91,551",,"13,550,586",(X),39.9%,(X),"172,535","126,577",,"6,516,115",(X),(X),(X),"89,374","59,348",,"4,399,782",(X),(X),33.3%,"151,243","109,349",,"9,227,560",41.8%,(X),(X),"134,491","95,521",,"13,699,816",(X),39.4%,(X),"176,205","131,674",,"6,572,440",(X),(X),(X),"91,365","61,493",,"4,472,256",(X),(X),32.4%,"157,192","113,969",,"9,297,773",41.6%,(X),(X),"140,112","100,149",,"13,797,638",(X),39.1%,(X),"183,563","138,170",,"6,599,228",(X),(X),(X),"95,264","63,280",,"4,499,865",(X),(X),32.1%
Colorado,"131,631","102,073",,"1,448,655",37.2%,(X),(X),"110,650","82,254",,"2,313,042",(X),35.8%,(X),"148,093","116,632",,"1,124,072",(X),(X),(X),"71,042","51,542",,"864,387",(X),(X),32.0%,"142,387","109,592",,"1,464,182",35.4%,(X),(X),"119,039","89,302",,"2,384,584",(X),34.0%,(X),"159,025","125,490",,"1,144,446",(X),(X),(X),"77,519","57,553",,"920,402",(X),(X),30.8%,"148,071","115,335",,"1,486,623",35.4%,(X),(X),"124,578","92,911",,"2,428,261",(X),33.9%,(X),"165,947","132,187",,"1,160,768",(X),(X),(X),"82,221","60,009",,"941,638",(X),(X),30.5%,"157,149","121,209",,"1,528,321",35.0%,(X),(X),"131,072","97,113",,"2,479,892",(X),33.4%,(X),"175,703","138,217",,"1,196,874",(X),(X),(X),"83,834","62,537",,"951,571",(X),(X),30.0%
Connecticut,"146,203","106,576",,"916,362",41.6%,(X),(X),"120,009","83,771",,"1,428,313",(X),40.1%,(X),"172,356","129,296",,"664,848",(X),(X),(X),"68,045","45,211",,"511,951",(X),(X),35.8%,"157,696","115,183",,"902,539",41.2%,(X),(X),"128,160","88,429",,"1,433,635",(X),39.0%,(X),"185,623","139,531",,"658,900",(X),(X),(X),"72,770","50,964",,"531,096",(X),(X),33.8%,"158,476","115,351",,"923,233",40.9%,(X),(X),"131,007","91,665",,"1,442,969",(X),38.7%,(X),"186,154","140,908",,"668,432",(X),(X),(X),"76,375","53,431",,"519,736",(X),(X),33.7%,"169,866","122,804",,"924,268",40.5%,(X),(X),"139,313","96,049",,"1,455,235",(X),38.1%,(X),"202,522","151,587",,"663,179",(X),(X),(X),"79,634","56,795",,"530,967",(X),(X),32.8%
Delaware,"111,504","87,132",,"256,408",38.1%,(X),(X),"95,633","71,091",,"395,656",(X),36.6%,(X),"128,021","102,769",,"186,477",(X),(X),(X),"57,720","45,456",,"139,248",(X),(X),32.6%,"124,756","100,128",,"263,885",37.8%,(X),(X),"105,438","82,174",,"402,334",(X),35.4%,(X),"139,819","112,712",,"197,223",(X),(X),(X),"62,657","46,579",,"138,449",(X),(X),29.7%,"129,963","100,727",,"268,496",35.7%,(X),(X),"109,486","81,361",,"412,048",(X),33.9%,(X),"148,243","117,885",,"196,308",(X),(X),(X),"65,978","49,863",,"143,552",(X),(X),28.9%,"134,249","105,622",,"271,399",39.2%,(X),(X),"114,291","87,534",,"412,304",(X),36.9%,(X),"152,467","123,300",,"196,270",(X),(X),(X),"70,705","51,848",,"140,905",(X),(X),31.0%
District of Columbia,"192,346","136,184",,"128,733",40.1%,(X),(X),"138,856","90,088",,"319,565",(X),32.2%,(X),N,"215,121",,"77,478",(X),(X),(X),"100,084","76,236",,"190,832",(X),(X),26.3%,"202,466","146,477",,"123,868",40.5%,(X),(X),"148,872","101,027",,"326,970",(X),30.6%,(X),"265,991","213,692",,"77,550",(X),(X),(X),"112,447","82,505",,"203,102",(X),(X),24.0%,"217,653","157,210",,"137,504",38.9%,(X),(X),"160,752","108,210",,"334,673",(X),32.1%,(X),N,"239,178",,"85,373",(X),(X),(X),"116,108","89,007",,"197,169",(X),(X),26.6%,"214,468","151,049",,"137,241",36.7%,(X),(X),"161,107","109,707",,"329,687",(X),31.2%,(X),"296,077","228,926",,"82,541",(X),(X),(X),"119,367","91,309",,"192,446",(X),(X),26.3%
Florida,"104,500","76,199",,"5,510,665",43.2%,(X),(X),"89,573","63,062",,"8,565,329",(X),41.5%,(X),"120,652","90,018",,"3,975,785",(X),(X),(X),"57,751","39,766",,"3,054,664",(X),(X),37.1%,"115,717","83,410",,"5,684,399",40.2%,(X),(X),"99,349","69,303",,"8,826,394",(X),38.2%,(X),"134,074","98,444",,"4,119,638",(X),(X),(X),"64,627","43,665",,"3,141,995",(X),(X),33.1%,"120,444","88,238",,"5,802,895",40.0%,(X),(X),"103,634","73,311",,"8,966,402",(X),38.0%,(X),"138,273","103,336",,"4,213,940",(X),(X),(X),"67,400","45,957",,"3,163,507",(X),(X),32.9%,"126,758","93,615",,"5,922,660",39.7%,(X),(X),"108,835","77,735",,"9,141,675",(X),37.7%,(X),"146,315","109,871",,"4,288,206",(X),(X),(X),"70,356","47,966",,"3,219,015",(X),(X),32.3%
